source_id,source_kind,title,citation,source_path,source_url,evidence_layer,availability,evidence_strength,evidence_type,needs_manual_review,review_note,classification_rule
SRC-0106,local_text_citation,鲁迅日记,鲁迅日记 1932年7月18日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0107,local_text_citation,鲁迅日记,鲁迅日记 1933年1月25日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0108,local_text_citation,鲁迅日记,鲁迅日记 1933年1月7日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0109,local_text_citation,鲁迅日记,鲁迅日记 1933年2月15日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0110,local_text_citation,鲁迅日记,鲁迅日记 1933年5月18日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0111,local_text_citation,鲁迅日记,鲁迅日记 1933年9月29日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0112,local_text_citation,鲁迅日记,鲁迅日记 1934年7月14日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0113,local_text_citation,鲁迅日记,鲁迅日记 1934年9月10日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0114,local_text_citation,鲁迅日记,鲁迅日记 1934年9月12日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0115,local_text_citation,鲁迅日记,鲁迅日记 1935年3月21日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0116,local_text_citation,鲁迅日记,鲁迅日记 1929年8月29日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0117,local_text_citation,鲁迅日记,鲁迅日记 1930年3月30日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0118,local_text_citation,鲁迅日记,鲁迅日记 1930年4月11日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0119,local_text_citation,鲁迅日记,鲁迅日记 1930年4月18日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0120,local_text_citation,鲁迅日记,鲁迅日记 1930年4月9日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0121,local_text_citation,鲁迅日记,鲁迅日记 1930年6月10日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0122,local_text_citation,鲁迅日记,鲁迅日记 1930年6月17日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0123,local_text_citation,鲁迅日记,鲁迅日记 1930年6月7日,D:\1大创\左联知识库项目\research\raw_texts\日记全编：全2册 (鲁迅 著) (Z-Library).txt,,txt_local_evidence,local,一手,日记,no,,keyword:日记
SRC-0124,local_text_citation,左联词典,左联词典 第118页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
SRC-0125,local_text_citation,左联词典,左联词典 第175页,D:\1大创\左联知识库项目\research\raw_texts\左联词典.txt,,txt_local_evidence,local,二手,研究论著,no,,keyword:研究论著
