relation_id,source_person_id,target_person_id,standard_relation_type,relation_risk_level,confidence,context,human_verdict,human_note
REL-01390,ZLH-016,ZLH-032,同属组织,critical,low,"洪灵菲、洪道、宣侠父、姚蓬子、柔石、饶彰风、袁殊、袅青伟、聂绀、夏征农、俩拾,钱亦石、秦川、倪素存、徐平羽,徐突微、徐懋庸、徐盗、徐步、殷作桢、殷夫、高; ,左联诣生前已从事创作和翻译的柔石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等,; 念亡友,鞭挞反动派的罪恶,颂扬柔石等烈士的高尚品质。月日,日本著名左翼作家",,
REL-01397,ZLH-016,ZLH-042,交游,low,medium,"丙心、穆木天、戴平万、戴望舒、魏金枝、魏猛克等。左联高举反对帝国主义、反对国民克反动派和拥护苏维埃革命的战斗旗帜,努力传播马克思主义文艺理论,介绍苏联及世界各国; 》、叶永蓁《小小十年》前半部、柔石《二月》和《旧时代之死》、魏金枝《七封书信的自传》都称为“优秀; 刊》,收左联作家张天翼、丁玲、魏金枝、何家槐、穆木天等的作品种。年月,为《春光)杂志特约撰稿人。在同年月《现代》第期发",,
REL-01417,ZLH-016,ZLH-082,交游,low,medium,"版委员。为纪念左联作家李伟森、柔石、胡也频、殷夫、冯健殉难周年,以“普罗诗社“名义编辑出版诗集《血在沸》(张秀中、窦隐夫著)和《擎旗手》(张秀中著)。月起接任",,
REL-01425,ZLH-016,ZLH-099,待核验,high,low,"五烈士“牺牲周年而作,介绍柔石《一个伟大的印象》、冯铿《红的日记》和《小阿强》、胡也频《同命》等篇报告文学和小说,认为是中国革命文学史上值得重视的作品“,",,
REL-01436,ZLH-016,ZLH-122,亲属关系,critical,medium,"迅五十寿辰庆祝会“,先生偕夫人许广平携海婴到会,他发表即席讲话,表示将继续投身无产阶级文学选动。年月日,因柔石等被捕,鲁迅被迫离家,去日本旅; medley作)。同年月,与柔石、冯雪峰、冯乃超、蔡咏裁、许广平等共合发起鲁迅寿辰纪念,并",,
REL-01438,ZLH-016,ZLH-124,文学论战,low,medium,"和《文化批判3;鲁迅、冯雪峰、柔石碰在一起就出版《朝花》周刊和《萧芽月刊》;蒋光慈、钱杏邺、蛋超碰在一起就组织“太阳社“,出版《太阳月刊》;杜国库、洪灵菲、戴平",,
REL-01440,ZLH-016,ZLH-128,亲属关系,high,medium,小说篇:《为奴隶的母亲》(柔石)、《自杀》(茅盾)、《拗汊》(茅盾)、《水》(丁玲)、《消息》(丁玲)、《狗》(巴金)、《柏子》(沈从文)、《阿娥》(孙席珍,,
REL-01441,ZLH-016,ZLH-129,同属组织,critical,low,"抗日联盟,被推为执行委员,并和胡愈之、袁殊一起负责召集第一次执行委员会,任联盟总务部长,后任组织部长兼党团书记。年月,中篇小说《浮世面》由良友图书公司",,
REL-01445,ZLH-016,ZLH-133,交游,low,medium,")》《野火),1931年月,柔石等五位左翼作家被害后,被迫离开上海去杭州暂避。年作小说《前哨兵》、《报复》同年夏因支持进步团体“五月花剧团“来杭州演出; 翼作家联盟纪念李伟森、胡也频、柔石、殷夫、冯锐和宗晖的纪念文集。日本东京四六书院年月出版。卷首有李伟森、宗眺、冯锂、殷夫的照片、“谨呈李、徐、冯、胡",,
REL-01456,ZLH-016,ZLH-150,文学论战,low,medium,"来的我国第一代新兴木刻艺术家。萧三(1896一1983).左翼诗人。原名子暮,笔名萧爱梅,S三、E*S、萧参等,俄文名埃弥*萧,湖南湘乡县人。年去苏联养; 念亡友,鞭挞反动派的罪恶,颂扬柔石等烈士的高尚品质。月日,日本著名左翼作家小林多喜二被特高警察活活拷打致死,左联发表《小林同志事件抗议书,鲁迅发去唁电,郁; “怪西人事件“,重建“文委“,萧三的来信、两个口号的争论,在大的悲哀里,",,
